type,code,name,ISIN,start,market,group,CFI
,7841,經貿聯網,TW0007841009,2025/06/11,興櫃,資訊服務業,ESVUFR
,7843,英柏得,TW0007843005,2025/07/17,興櫃,半導體業,ESVUFR
,7846,德揚,TW0007846008,2025/06/26,興櫃,綠能環保,ESVUFR
,7847,豊漁,TW0007847006,2025/06/26,興櫃,觀光餐旅,ESVUFR
,7848,騏億鑫,TW0007848004,2025/07/29,興櫃,其他電子業,ESVUFR
,7849,旭誼,TW0007849002,2025/08/01,興櫃,其他電子業,ESVUFR
,7850,寶泰生醫,TW0007850000,2025/08/04,興櫃,生技醫療業,ESVUFR
,7851,慧康生技*-KY,KYG4711S1030,2025/11/19,興櫃,生技醫療業,ESVUFR
,7853,政美應用,TW0007853004,2025/09/30,興櫃,半導體業,ESVUFR
,7854,佐茂,TW0007854002,2025/10/30,興櫃,電腦及週邊設備業,ESVUFR
,7855,和運租車,TW0007855009,2025/09/26,興櫃,其他業,ESVUFR
,7856,漢測,TW0007856007,2025/09/17,興櫃,半導體業,ESVUFR
,7857,合水先進,TW0007857005,2025/08/28,興櫃,綠能環保,ESVUFR
,7858,芝普,TW0007858003,2025/09/26,興櫃,化學工業,ESVUFR
,7860,得生製藥,TW0007860009,2025/09/09,興櫃,生技醫療業,ESVUFR
,7861,貝爾威勒,TW0007861007,2025/11/12,興櫃,電子零組件業,ESVUFR
,7862,聚泰,TW0007862005,2025/10/22,興櫃,紡織纖維,ESVUFR
,7863,中科物流,TW0007863003,2025/09/30,興櫃,航運業,ESVUFR
,7865,金聯成,TW0007865008,2025/10/02,興櫃,綠能環保,ESVUFR
,7866,丹立,TW0007866006,2025/10/16,興櫃,半導體業,ESVUFR
,7867,特力屋,TW0007867004,2025/10/16,興櫃,居家生活,ESVUFR
,7868,聖育,TW0007868002,2025/10/21,興櫃,資訊服務業,ESVUFR
,7869,宏于電機,TW0007869000,2025/12/22,興櫃,電機機械,ESVUFR
,7870,聯剛科技,TW0007870008,2025/11/21,興櫃,其他電子業,ESVUFR
,7871,安立璽榮-KY,KYG3106D1016,2026/01/13,興櫃,生技醫療業,ESVUFR
,7872,登豐,TW0007872004,2025/12/22,興櫃,半導體業,ESVUFR
,7873,瑞峰,TW0007873002,2026/05/29,興櫃,半導體業,ESVUFR
,7875,安圖斯,TW0007875007,2025/11/21,興櫃,電腦及週邊設備業,ESVUFR
,7876,鼎晉生技,TW0007876005,2025/11/24,興櫃,生技醫療業,ESVUFR
,7877,海利普,TW0007877003,2025/11/27,興櫃,綠能環保,ESVUFR
,7878,藥祇,TW0007878001,2025/11/27,興櫃,生技醫療業,ESVUFR
,7879,益材科技,TW0007879009,2026/01/23,興櫃,電機機械,ESVUFR
,7880,聖凰,TW0007880007,2025/11/26,興櫃,半導體業,ESVUFR
,7881,科明,TW0007881005,2025/11/26,興櫃,生技醫療業,ESVUFR
,7882,倍利創投,TW0007882003,2025/12/09,興櫃,其他業,ESVUFR
,7883,饗賓,TW0007883001,2026/01/23,興櫃,觀光餐旅,ESVUFR
,7885,宏羚,TW0007885006,2026/01/16,興櫃,其他電子業,ESVUFR
,7886,科建,TW0007886004,2026/01/19,興櫃,半導體業,ESVUFR
,7887,宇川精材,TW0007887002,2026/01/13,興櫃,半導體業,ESVUFR
,7888,麗寶新藥,TW0007888000,2025/12/23,興櫃,生技醫療業,ESVUFR
,7889,騰勢,TW0007889008,2026/01/13,興櫃,食品工業,ESVUFR
,7890,明曜科技,TW0007890006,2026/01/20,興櫃,綠能環保,ESVUFR
,7891,博研醫藥,TW0007891004,2026/01/14,興櫃,生技醫療業,ESVUFR
,7892,元鈦科,TW0007892002,2026/01/16,興櫃,電腦及週邊設備業,ESVUFR
,7893,睿信,TW0007893000,2026/01/15,興櫃,電子零組件業,ESVUFR
,7895,元進莊,TW0007895005,2026/01/22,興櫃,農業科技業,ESVUFR
,7896,喬越,TW0007896003,2026/01/16,興櫃,電子零組件業,ESVUFR
,7897,禾迅綠電,TW0007897001,2026/01/27,興櫃,綠能環保,ESVUFR
,7898,乾瞻,TW0007898009,2026/05/27,興櫃,半導體業,ESVUFR
,7899,景美,TW0007899007,2026/02/25,興櫃,半導體業,ESVUFR
,7901,大大寬頻,TW0007901001,2026/01/21,興櫃,通信網路業,ESVUFR
,7902,宇越生醫*,TW0007902009,2026/01/22,興櫃,生技醫療業,ESVUFR
,7904,任開數位,TW0007904005,2026/01/23,興櫃,數位雲端,ESVUFR
,7907,錸恩帕斯,TW0007907008,2026/04/22,興櫃,其他電子業,ESVUFR
,7909,鈺祥,TW0007909004,2026/03/25,興櫃,半導體業,ESVUFR
,7911,阿波羅電力,TW0007911000,2026/04/28,興櫃,綠能環保,ESVUFR
