type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,079524,新日興元富38購06,TW24Z0795243,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079525,健策元富38購01,TW24Z0795250,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079526,永崴控元富38購02,TW24Z0795268,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079527,緯穎元富39購03,TW24Z0795276,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079528,緯穎元富39購04,TW24Z0795284,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079529,采鈺元富38購02,TW24Z0795292,2024/02/16,上市,,RWSCCA
上市認購(售)權證,07952T,大同元富3A售08,TW24Z07952T4,2024/04/23,上市,,RWSCPE
上市認購(售)權證,079530,亞力國票3A購02,TW24Z0795300,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079531,川湖國票39購04,TW24Z0795318,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079532,矽統國票39購01,TW24Z0795326,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079533,金像電國票39購01,TW24Z0795334,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079534,晶相光國票39購02,TW24Z0795342,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079535,健策國票39購01,TW24Z0795359,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079536,材料國票39購01,TW24Z0795367,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079537,立積國票3A購02,TW24Z0795375,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079538,立積國票3C購01,TW24Z0795383,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079539,緯穎國票39購02,TW24Z0795391,2024/02/16,上市,,RWSCCA
上市認購(售)權證,07953T,大同元富3A售09,TW24Z07953T2,2024/04/23,上市,,RWSCPE
上市認購(售)權證,079540,永道國票39購01,TW24Z0795409,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079541,新日興國泰3A購01,TW24Z0795417,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079542,華泰中信38購01,TW24Z0795425,2024/02/16,上市,,RWSCCE
上市認購(售)權證,079543,矽統中信38購01,TW24Z0795433,2024/02/16,上市,,RWSCCE
上市認購(售)權證,079544,奇鋐中信38購03,TW24Z0795441,2024/02/16,上市,,RWSCCE
上市認購(售)權證,079545,奇鋐中信3B購01,TW24Z0795458,2024/02/16,上市,,RWSCCE
上市認購(售)權證,079546,欣興中信38購01,TW24Z0795466,2024/02/16,上市,,RWSCCE
上市認購(售)權證,079547,欣興中信3A購01,TW24Z0795474,2024/02/16,上市,,RWSCCE
上市認購(售)權證,079548,新日興中信38購01,TW24Z0795482,2024/02/16,上市,,RWSCCE
